Name,Title,Company,LinkedIn,Email,Source URL,Extraction Date,Batch_Mode,Processing_Date,Company_Industry
Abdulla Ateya Al Messabi,Chief Executive Officer,ADNOC Drilling,,,https://adnocdrilling.ae/en/our-company/leadership,11-07-2025,Yes,11-07-2025 13:09,Energy
David Feinberg,"Director, President and Chief Executive Officer",Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Mark Erceg,Executive Vice President and Chief Financial Officer,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Michael R. Battaglioli,Chief Accounting Officer and Vice President of Finance,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
William Mintz,Chief Strategy Officer and Senior Vice President,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Bill Graff,Senior Vice President and Chief Information Officer,Cerner Corp,,,https://www.globaldata.com/company-profile/cerner-corp/executives/,14-07-2025,Yes,14-07-2025 14:03,Healthcare Technology
Marc Baier,Top American DarkMatter Executive,DarkMatter,,,https://theintercept.com/2019/06/12/darkmatter-uae-hack-intercept/,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Samer Khalife,Chief Financial Officer,DarkMatter,,,https://theintercept.com/2019/06/12/darkmatter-uae-hack-intercept/,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Faisal Ai Bannai,Former Managing Director,DarkMatter,,,https://www.bankinfosecurity.com/uae-forms-defense-firm-to-help-tackle-cyberthreats-a-13387,14-07-2025,Yes,14-07-2025 14:03,Cybersecurity
Dr. Mohammed Al Zarouni,Executive Chairman,Dubai Integrated Economic Zones Authority (DIEZ),,,https://www.dso.ae/leadership-and-management-team,14-07-2025,Yes,14-07-2025 14:03,Technology
XRaed Kajoor Al Nuaimi,Chief Executive Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Paul La France,Chief Projects Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Matthew Priddy,Chief Technical Officer,Dubai Parks and Resorts PJSC,,,https://dprcorporate.ae/management-team/,14-07-2025,Yes,14-07-2025 15:38,
Mohammed Al Zarooni,Chief Executive Officer,Dubai Silicon Oasis Capital,,,https://www.cbinsights.com/company/dubai-silicon-oasis-capital/people,14-07-2025,Yes,14-07-2025 14:03,Technology
Mohammed Al Zarooni,Chief Executive Officer,"Dubai Silicon Oasis Capital

",,,https://www.cbinsights.com/company/dubai-silicon-oasis-capital/people,14-07-2025,Yes,14-07-2025 14:03,Technology
H.E. Jassem Mohamed Obaid Bu Ataba Alzaabi,Chairman,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
H.E. Essa Abdulfattah Kazim Al Mulla,Vice Chairman,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
Mr. Hesham Abdulla Qassim Al Qassim,Board Member,e&,,,https://www.eand.com/en/whoweare/governance/board-of-directors.html,14-07-2025,Yes,14-07-2025 15:33,
Shayne Nelson,Group Chief Executive Officer,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,11-07-2025,Yes,11-07-2025 13:04,Banking & Financial Services
Farid Al Mulla,"Chief Executive Officer, Emirates Islamic",Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,11-07-2025,Yes,11-07-2025 13:04,Banking & Financial Services
Shayne Nelson,Group Chief Executive Officer,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Farid Al Mulla,"Chief Executive Officer, Emirates Islamic",Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Marwan Hadi,Group Head of Retail Banking and Wealth Management,Emirates NBD,,,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team,15-07-2025,Yes,15-07-2025 15:24,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Hatem Dowidar,Chief Executive Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Karim Bennis,Chief Financial Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 13:09,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Hatem Dowidar,Chief Executive Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Karim Bennis,Chief Financial Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,15-07-2025,Yes,15-07-2025 15:26,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Etisalat Group,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,14-07-2025,Yes,14-07-2025 14:03,Telecommunications
Hana Al Rostamani,Group Chief Executive Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Futoon Hamdan Al Mazrouei,"Group Head of Personal, Business, Wealth and Privileged Client Banking Group",FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Lars Kramer,Group Chief Financial Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,14-07-2025,Yes,14-07-2025 15:30,
Hana Al Rostamani,Group Chief Executive Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,15-07-2025,Yes,15-07-2025 15:24,
Futoon Hamdan Al Mazrouei,"Group Head of Personal, Business, Wealth and Privileged Client Banking Group",FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,15-07-2025,Yes,15-07-2025 15:24,
Lars Kramer,Group Chief Financial Officer,FAB Group,,,https://www.bankfab.com/en-ae/about-fab/group/senior-management,15-07-2025,Yes,15-07-2025 15:24,
Lennard Otto,Chief Executive Officer (CEO),IMG Worlds of Adventure,,,https://blooloop.com/theme-park/news/lennard-otto-promoted-to-ceo-of-img-worlds-of-adventure/,14-07-2025,Yes,14-07-2025 15:38,
Ilyas Galadari,Executive Co-Chairman and Owner,IMG Worlds of Adventure,,,https://blooloop.com/theme-park/news/lennard-otto-promoted-to-ceo-of-img-worlds-of-adventure/,14-07-2025,Yes,14-07-2025 15:38,
Mustafa Galadari,Executive Co-Chairman and Owner,IMG Worlds of Adventure,,,https://blooloop.com/theme-park/news/lennard-otto-promoted-to-ceo-of-img-worlds-of-adventure/,14-07-2025,Yes,14-07-2025 15:38,
Dominic Farrell,Group Chief Technology Officer,MBC GROUP,,,https://executive-moves.com/country/dominic-farrell-appointed-group-chief-technology-at-mbc-group/,14-07-2025,Yes,14-07-2025 15:38,
Farrell,Chief Technology Officer,MBC GROUP,,,https://executive-moves.com/country/dominic-farrell-appointed-group-chief-technology-at-mbc-group/,14-07-2025,Yes,14-07-2025 15:38,
Dominic,Chief Technology Officer,MBC GROUP,,,https://executive-moves.com/country/dominic-farrell-appointed-group-chief-technology-at-mbc-group/,14-07-2025,Yes,14-07-2025 15:38,
Philip Barnes,Chief Executive Officer,Rotana,,,https://about.rotana.com/en/ourcompany/corporateexecutives,14-07-2025,Yes,14-07-2025 15:38,
Eddy Tannous,Chief Operating Officer,Rotana,,,https://about.rotana.com/en/ourcompany/corporateexecutives,14-07-2025,Yes,14-07-2025 15:38,
Ghazi Mousharafieh,Chief Financial Officer,Rotana,,,https://about.rotana.com/en/ourcompany/corporateexecutives,14-07-2025,Yes,14-07-2025 15:38,
Alexis Lecanuet,Regional Managing Director,Accenture Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Jamal Al Awadhi,CEO,Al Hilal Bank (ADCB Group),,,https://www.adcb.com/en/about-us/media-centre/news/2025/january/ahb-new-ceo-appointment-press-release,14-07-2025,Yes,,
Marwan Al Rostamani,Group CEO,Al Rostamani Group,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Talal Al Dhiyebi,Group CEO,Aldar Properties,,,https://thefuturemedia.eu/the-middle-easts-most-powerful-real-estate-moguls-of-2025/,14-07-2025,Yes,,
Omar Al Futtaim,Vice Chairman & CEO,Al-Futtaim Group,,,https://www.linkedin.com/posts/arabian-business_dubai100-arabianbusiness-activity-7310735815582605313-AvTF,14-07-2025,Yes,,
Wassim Arabi,"President, Retail Division",Al-Futtaim Group (Retail),,,https://www.alfuttaim.com/articles/al-futtaim-appoints-wassim-arabi-as-president-of-retail-division/,14-07-2025,Yes,,
Ziad Matar,CEO,Capgemini Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Santosh Thomas,CEO,Cognizant UAE,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Chris Caldwell,CEO,Concentrix,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Hussain Sajwani,Founder & Chairman,DAMAC Properties,,,https://thefuturemedia.eu/the-middle-easts-most-powerful-real-estate-moguls-of-2025/,14-07-2025,Yes,,
Tim Parr,CEO,Deloitte UAE,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Sultan Ahmed bin Sulayem,Group Chairman & CEO,DP World,,,https://www.aljazeera.com/economy/2025/7/13/syria-signs-800m-tartus-port-deal-with-uae-firm-dp-world,14-07-2025,Yes,,
Paul Griffiths,CEO,Dubai Airports,,,https://en.wikipedia.org/wiki/Ahmed_bin_Saeed_Al_Maktoum,14-07-2025,Yes,,
Amit Kaushal,Group CEO,Dubai Holding,,,https://thefuturemedia.eu/the-middle-easts-most-powerful-real-estate-moguls-of-2025/,14-07-2025,Yes,,
Dr. Adnan Chilwan,Group CEO,Dubai Islamic Bank,,,https://www.dib.ae/about-us/leadership-team/executive-management,14-07-2025,Yes,,
Sultan Ahmed bin Sulayem,Group Chairman & CEO,Dubai World,,,https://en.wikipedia.org/wiki/DP_World,14-07-2025,Yes,,
David Stockton,CEO,Dulsco,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Amit Jain,Group CEO,Emaar Properties,,,https://www.instagram.com/p/C4wI99SB8O5/,14-07-2025,Yes,,
Mohamed Alabbar,Founder & MD,Emaar Properties,,,https://en.arageek.com/uae-titans-dominate-forbes-2025-middle-east-real-estate-rankings,14-07-2025,Yes,,
Shayne Nelson,Group CEO,Emirates NBD,,,https://en.wikipedia.org/wiki/Ahmed_bin_Saeed_Al_Maktoum,14-07-2025,Yes,,
Abdulaziz Al-Sowailim,Chairman & CEO,Ernst & Young (EY) Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Sunil Paul,Co-Founder & MD,Finesse,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Hana Al Rostamani,Group CEO,First Abu Dhabi Bank (FAB),,,https://www.forbesmiddleeast.com/lists/100-most-powerful-businesswomen-2025/hana-al-rostamani/,14-07-2025,Yes,,
C Vijayakumar,CEO,HCL Technologies,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Hossam Seif El-Din,General Manager,IBM Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Salil Parekh,CEO,Infosys Limited,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Emilio Pera,CEO,KPMG UAE,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Ahmed Galal Ismail,CEO,Majid Al Futtaim Holding,,,https://maf-corporate.sitefinity.cloud/en/who-we-are/management,14-07-2025,Yes,,
Fahed Ghanim,CEO,Majid Al Futtaim Lifestyle,,,https://www.worldretailcongress.com/speakers/fahed-ghanim,14-07-2025,Yes,,
Ahmed Abdelaal,Group CEO,Mashreq Bank,,,https://en.wikipedia.org/wiki/Ahmed_bin_Saeed_Al_Maktoum,14-07-2025,Yes,,
Naim Yazbeck,General Manager,Microsoft UAE,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Khaldoon Khalifa Al Mubarak,Group CEO & MD,Mubadala Investment Company,,,https://adnoc.ae/en/news-and-media/press-releases/2025/khaled-bin-mohamed-bin-zayed--chairs-meeting-of-executive,14-07-2025,Yes,,
Abdul Rahman Al Thehaiban,"SVP, MEA & CEE",Oracle Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Ali Amer,"SVP, MEA",Orange Business Services,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Farhan Malik,Group CEO,PureHealth,,,https://economymiddleeast.com/news/uaes-top-50-brands-surge-22-percent-value-88-5-billion-2025/,14-07-2025,Yes,,
Hani Ashkar,Senior Partner,PwC Middle East,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Sergio Maccotta,"SVP, MEA",SAP Middle East & North Africa,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Dilip Vellodi,CEO,Sutherland Global Services,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
K. Krithivasan,CEO,Tata Consultancy Services,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
CP Gurnani,CEO,Tech Mahindra,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
Dr. Greg Ward,Managing Director,Transguard Group,,,https://www.linkedin.com/posts/muhammedwanas_here-is-a-list-of-50-companies-in-the-uae-activity-7220059540526895104-VGRp,14-07-2025,Yes,,
HH Sheikh Ahmed bin Saeed Al Maktoum,Chairman & Chief Executive,Emirates Airline & Group,,,https://www.emirates.com/us/english/about-us/our-people/leadership-team/,2025-07-15,Yes,2025-07-15 20:28:59,
Tim Clark,President,Emirates Airline,,,https://www.emirates.com/us/english/about-us/our-people/leadership-team/,2025-07-15,Yes,2025-07-15 20:28:59,
Adel Al Redha,Deputy President & Chief Operations Officer,Emirates Airline,,,https://www.emirates.com/us/english/about-us/our-people/leadership-team/,2025-07-15,Yes,2025-07-15 20:28:59,
Jassem Mohamed Bu Ataba Alzaabi,Chairman,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,2025-07-15,Yes,2025-07-15 20:50:52,
Hatem Dowidar,Chief Executive Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,2025-07-15,Yes,2025-07-15 20:50:52,
Karim Bennis,Chief Financial Officer,Emirates Telecommunications Group Co PJSC,,,https://www.globaldata.com/company-profile/emirates-telecommunications-group-co-pjsc/executives/,2025-07-15,Yes,2025-07-15 20:50:52,
